name,ring,quadrant,isNew,description
Micro-services,Use,Techniques,,
REST APIs,Use,Techniques,,
Message Brokers,Use,Techniques,,
Queues,Use,Techniques,,
Object-Oriented Programming,Use,Techniques,,
Unit Testing,Use,Techniques,,
CI/CD,Use,Techniques,,
Code Reviews,Use,Techniques,,
Linting,Asseses,Techniques,,
Pair Programming,Trial,Techniques,,
Test Development Driven,Asseses,Techniques,,
Amazon Web Services,Use,Platforms,,
Microsoft Azure,Use,Platforms,,
Linux,Use,Platforms,,
Azure Cognitive Search,Use,Platforms,,
Managed Kubernetes (EKS),Use,Platforms,,
Docker,Use,Platforms,,
Lens,Trial,Tools,,
AWS SQS,Use,Tools,,
Azure Storage Queues,Use,Tools,,
Azure Service Bus,Use,Tools,,
MongoDB,Use,Tools,,
PostgreSQL,Use,Tools,,
NHibernate,Use,Tools,,
DynamoDB,Use,Tools,,
Redis,Use,Tools,,
Prometheus,Drop,Tools,,
Grafana,Drop,Tools,,
GitHub,Use,Tools,,
GitHub Actions,Asseses,Tools,,
Semaphore,Use,Tools,,
Webpack,Use,Tools,,
Node.js,Use,languages-and-frameworks,,
Express.js,Use,languages-and-frameworks,,
React.js,Use,languages-and-frameworks,,
.NET,Use,languages-and-frameworks,,
.NET Core,Use,languages-and-frameworks,,
TypeScript,Trial,languages-and-frameworks,,
Mocha,Use,languages-and-frameworks,,
